,review,tokenized,freq_dist
986,trip paid extra two premium economy seats long haul flight disappointed seat felt small shabby tv screen small dark tried adjust still unwatchable whole experience poor premium way return flight code share japan airines premium whole different experience would happy pay premium seats would advise avoid british airways premium economy far premium felt complete waste,"['trip', 'paid', 'extra', 'two', 'premium', 'economy', 'seats', 'long', 'haul', 'flight', 'disappointed', 'seat', 'felt', 'small', 'shabby', 'tv', 'screen', 'small', 'dark', 'tried', 'adjust', 'still', 'unwatchable', 'whole', 'experience', 'poor', 'premium', 'way', 'return', 'flight', 'code', 'share', 'japan', 'airines', 'premium', 'whole', 'different', 'experience', 'would', 'happy', 'pay', 'premium', 'seats', 'would', 'advise', 'avoid', 'british', 'airways', 'premium', 'economy', 'far', 'premium', 'felt', 'complete', 'waste']",<FreqDist with 42 samples and 55 outcomes>
987,trip faro heathrow flight good issues yet baggage collection disaster fly club first time without fail baggage always last spoke ba desk clueless idea happens stop correct happened flight shambles disgrace waited mins got cases heathrow unacceptable kit using avoid costs,"['trip', 'faro', 'heathrow', 'flight', 'good', 'issues', 'yet', 'baggage', 'collection', 'disaster', 'fly', 'club', 'first', 'time', 'without', 'fail', 'baggage', 'always', 'last', 'spoke', 'ba', 'desk', 'clueless', 'idea', 'happens', 'stop', 'correct', 'happened', 'flight', 'shambles', 'disgrace', 'waited', 'mins', 'got', 'cases', 'heathrow', 'unacceptable', 'kit', 'using', 'avoid', 'costs']",<FreqDist with 38 samples and 41 outcomes>
988,trip vancouver london excellent flight ba travel route several times year generally ba much better ac especially flight ba way ahead competition seats comfortable food pretty good economy decent wine flight crew simply outstanding professional smiling friendly embodied ba best,"['trip', 'vancouver', 'london', 'excellent', 'flight', 'ba', 'travel', 'route', 'several', 'times', 'year', 'generally', 'ba', 'much', 'better', 'ac', 'especially', 'flight', 'ba', 'way', 'ahead', 'competition', 'seats', 'comfortable', 'food', 'pretty', 'good', 'economy', 'decent', 'wine', 'flight', 'crew', 'simply', 'outstanding', 'professional', 'smiling', 'friendly', 'embodied', 'ba', 'best']",<FreqDist with 35 samples and 40 outcomes>
989,trip gatwick tenerife wrong lounge really overcrowded food plane pretty horrid left paid travelling business class allocated four rows away partner normal procedure apparently top six night holiday paid another hundred pounds plus sit partner total madness airline self destruct button shamehave booked norwegian next flights barcelona buenos aires even bother look ba,"['trip', 'gatwick', 'tenerife', 'wrong', 'lounge', 'really', 'overcrowded', 'food', 'plane', 'pretty', 'horrid', 'left', 'paid', 'travelling', 'business', 'class', 'allocated', 'four', 'rows', 'away', 'partner', 'normal', 'procedure', 'apparently', 'top', 'six', 'night', 'holiday', 'paid', 'another', 'hundred', 'pounds', 'plus', 'sit', 'partner', 'total', 'madness', 'airline', 'self', 'destruct', 'button', 'shamehave', 'booked', 'norwegian', 'next', 'flights', 'barcelona', 'buenos', 'aires', 'even', 'bother', 'look', 'ba']",<FreqDist with 51 samples and 53 outcomes>
990,trip washington london travelled washington heathrow first class overly impressed although concorde room relaxing comfortable bar staff mixture attentive somewhat dismissive cabin crew polite quite surgical manner gave overall impression cold clinical approach return journey different ba lounge well presented fantastic choice food drink hilight return flight engaging nature cabin crew nothing short amazing offered usual amenities upon boarding set flight apart start happy friendly nature crew absolutely nothing much trouble took time chat showed real general interest talked demeanour perfect professional yet relaxing engaging approach fantastic sense humour seemed genuinely delighted assist mixed levels service ba always flying virgin think ba need track staff member use model future cabin crew training,"['trip', 'washington', 'london', 'travelled', 'washington', 'heathrow', 'first', 'class', 'overly', 'impressed', 'although', 'concorde', 'room', 'relaxing', 'comfortable', 'bar', 'staff', 'mixture', 'attentive', 'somewhat', 'dismissive', 'cabin', 'crew', 'polite', 'quite', 'surgical', 'manner', 'gave', 'overall', 'impression', 'cold', 'clinical', 'approach', 'return', 'journey', 'different', 'ba', 'lounge', 'well', 'presented', 'fantastic', 'choice', 'food', 'drink', 'hilight', 'return', 'flight', 'engaging', 'nature', 'cabin', 'crew', 'nothing', 'short', 'amazing', 'offered', 'usual', 'amenities', 'upon', 'boarding', 'set', 'flight', 'apart', 'start', 'happy', 'friendly', 'nature', 'crew', 'absolutely', 'nothing', 'much', 'trouble', 'took', 'time', 'chat', 'showed', 'real', 'general', 'interest', 'talked', 'demeanour', 'perfect', 'professional', 'yet', 'relaxing', 'engaging', 'approach', 'fantastic', 'sense', 'humour', 'seemed', 'genuinely', 'delighted', 'assist', 'mixed', 'levels', 'service', 'ba', 'always', 'flying', 'virgin', 'think', 'ba', 'need', 'track', 'staff', 'member', 'use', 'model', 'future', 'cabin', 'crew', 'training']",<FreqDist with 95 samples and 112 outcomes>
991,trip rome fiumicino london city ba cityflyer service wait check aircraft full pushed back early arrived early route still complimentary refreshments economy including wine great bonus pleasant surprise cabin service pleasant professional really excellent flight,"['trip', 'rome', 'fiumicino', 'london', 'city', 'ba', 'cityflyer', 'service', 'wait', 'check', 'aircraft', 'full', 'pushed', 'back', 'early', 'arrived', 'early', 'route', 'still', 'complimentary', 'refreshments', 'economy', 'including', 'wine', 'great', 'bonus', 'pleasant', 'surprise', 'cabin', 'service', 'pleasant', 'professional', 'really', 'excellent', 'flight']",<FreqDist with 32 samples and 35 outcomes>
992,trip london shanghai disappointing business class flown long time plane old worn dirty crumbs food seat floor previous flight took hours drinks service reach seat take food followed shortly cooked seemed short staff however made really angry people cabin drinks food beds turned id even offered drink service exceptionally poor flying home tomorrow looking forward flight gold card holder might thought ba would check frequent fliers looked ill return using airlines one world group long haul trips cathay jal finnair reason ive given one star managed sleep quite well bedding pillows good ultimately though sorry ba good enough,"['trip', 'london', 'shanghai', 'disappointing', 'business', 'class', 'flown', 'long', 'time', 'plane', 'old', 'worn', 'dirty', 'crumbs', 'food', 'seat', 'floor', 'previous', 'flight', 'took', 'hours', 'drinks', 'service', 'reach', 'seat', 'take', 'food', 'followed', 'shortly', 'cooked', 'seemed', 'short', 'staff', 'however', 'made', 'really', 'angry', 'people', 'cabin', 'drinks', 'food', 'beds', 'turned', 'id', 'even', 'offered', 'drink', 'service', 'exceptionally', 'poor', 'flying', 'home', 'tomorrow', 'looking', 'forward', 'flight', 'gold', 'card', 'holder', 'might', 'thought', 'ba', 'would', 'check', 'frequent', 'fliers', 'looked', 'ill', 'return', 'using', 'airlines', 'one', 'world', 'group', 'long', 'haul', 'trips', 'cathay', 'jal', 'finnair', 'reason', 'ive', 'given', 'one', 'star', 'managed', 'sleep', 'quite', 'well', 'bedding', 'pillows', 'good', 'ultimately', 'though', 'sorry', 'ba', 'good', 'enough']",<FreqDist with 88 samples and 98 outcomes>
993,trip customer service horrible lost bags sit london days wearing clothing fly hours barcelona day cruise pretty much lost hope reunited bags go spent much trip celebrate husbands birthday wedding anniversary supposed trip lifetime really trying make light things getting bags today friday left tuesday seattle heartbreaking one single person british airways handled kind urgency empathy matter one customer service agent even asked would ok getting heathrow pick truly worst customer experience ive,"['trip', 'customer', 'service', 'horrible', 'lost', 'bags', 'sit', 'london', 'days', 'wearing', 'clothing', 'fly', 'hours', 'barcelona', 'day', 'cruise', 'pretty', 'much', 'lost', 'hope', 'reunited', 'bags', 'go', 'spent', 'much', 'trip', 'celebrate', 'husbands', 'birthday', 'wedding', 'anniversary', 'supposed', 'trip', 'lifetime', 'really', 'trying', 'make', 'light', 'things', 'getting', 'bags', 'today', 'friday', 'left', 'tuesday', 'seattle', 'heartbreaking', 'one', 'single', 'person', 'british', 'airways', 'handled', 'kind', 'urgency', 'empathy', 'matter', 'one', 'customer', 'service', 'agent', 'even', 'asked', 'would', 'ok', 'getting', 'heathrow', 'pick', 'truly', 'worst', 'customer', 'experience', 'ive']",<FreqDist with 62 samples and 73 outcomes>
994,trip london city zurich fly route lot around times per year flight delayed initially hour kept date via app disappointed around minutes flight one crew member came card hands wishing happy birthday followed bottle champagne brandy etc totally unexpected made day thanks crew,"['trip', 'london', 'city', 'zurich', 'fly', 'route', 'lot', 'around', 'times', 'per', 'year', 'flight', 'delayed', 'initially', 'hour', 'kept', 'date', 'via', 'app', 'disappointed', 'around', 'minutes', 'flight', 'one', 'crew', 'member', 'came', 'card', 'hands', 'wishing', 'happy', 'birthday', 'followed', 'bottle', 'champagne', 'brandy', 'etc', 'totally', 'unexpected', 'made', 'day', 'thanks', 'crew']",<FreqDist with 40 samples and 43 outcomes>
995,trip booked flight bucharest london return airport informed us flight delayed hours another hour half pm lost money paid bus tickets would refund returning bucharest flight delayed inform us understand unforeseen situation happen never seen poorly prepared company life,"['trip', 'booked', 'flight', 'bucharest', 'london', 'return', 'airport', 'informed', 'us', 'flight', 'delayed', 'hours', 'another', 'hour', 'half', 'pm', 'lost', 'money', 'paid', 'bus', 'tickets', 'would', 'refund', 'returning', 'bucharest', 'flight', 'delayed', 'inform', 'us', 'understand', 'unforeseen', 'situation', 'happen', 'never', 'seen', 'poorly', 'prepared', 'company', 'life']",<FreqDist with 34 samples and 39 outcomes>
996,trip london calgary thank james club world flight attendant ba april service impeccable attentive delightful thoroughly enjoyed flight,"['trip', 'london', 'calgary', 'thank', 'james', 'club', 'world', 'flight', 'attendant', 'ba', 'april', 'service', 'impeccable', 'attentive', 'delightful', 'thoroughly', 'enjoyed', 'flight']",<FreqDist with 17 samples and 18 outcomes>
997,trip vancouver london upgraded business class airport staff absolutely delightful fabulous trip really could helpful would recommend,"['trip', 'vancouver', 'london', 'upgraded', 'business', 'class', 'airport', 'staff', 'absolutely', 'delightful', 'fabulous', 'trip', 'really', 'could', 'helpful', 'would', 'recommend']",<FreqDist with 16 samples and 17 outcomes>
998,miami london heathrow british airways top deck one experienced one new crew members perfect welcome appreciated method selecting breakfast starter settled slept better expected ontime arrival aa arrivals lounge quiet good showers,"['miami', 'london', 'heathrow', 'british', 'airways', 'top', 'deck', 'one', 'experienced', 'one', 'new', 'crew', 'members', 'perfect', 'welcome', 'appreciated', 'method', 'selecting', 'breakfast', 'starter', 'settled', 'slept', 'better', 'expected', 'ontime', 'arrival', 'aa', 'arrivals', 'lounge', 'quiet', 'good', 'showers']",<FreqDist with 31 samples and 32 outcomes>
999,trip houston london plane left hour late engineer dealt problem ive problem like travelling safely thought well im sure id booked aisle seat online appears window missed airline meal realised buzzed steward requested sandwich water explaining problem fetched sandwich various bits hed scrabbled together kitchen later liquid refreshment cane round neighbour requested water reach across drink helped drink left,"['trip', 'houston', 'london', 'plane', 'left', 'hour', 'late', 'engineer', 'dealt', 'problem', 'ive', 'problem', 'like', 'travelling', 'safely', 'thought', 'well', 'im', 'sure', 'id', 'booked', 'aisle', 'seat', 'online', 'appears', 'window', 'missed', 'airline', 'meal', 'realised', 'buzzed', 'steward', 'requested', 'sandwich', 'water', 'explaining', 'problem', 'fetched', 'sandwich', 'various', 'bits', 'hed', 'scrabbled', 'together', 'kitchen', 'later', 'liquid', 'refreshment', 'cane', 'round', 'neighbour', 'requested', 'water', 'reach', 'across', 'drink', 'helped', 'drink', 'left']",<FreqDist with 52 samples and 59 outcomes>
1000,trip london delhi worst business class trip us seats much smaller business class singapore air thai international eva air qantas seated together surname mr mrs moved privacy middle seats one tiny drawer storage shoes ipad makeup sponge bag book etc filmtv selection limited choice wasnt working food poor main course congealed basic dessert pathetic tea coffee chocolates offered us breakfast jam croissant nobody came round flight offering extra water beverages crew didnt put one pays business class one expects didnt get would never choose travel ba,"['trip', 'london', 'delhi', 'worst', 'business', 'class', 'trip', 'us', 'seats', 'much', 'smaller', 'business', 'class', 'singapore', 'air', 'thai', 'international', 'eva', 'air', 'qantas', 'seated', 'together', 'surname', 'mr', 'mrs', 'moved', 'privacy', 'middle', 'seats', 'one', 'tiny', 'drawer', 'storage', 'shoes', 'ipad', 'makeup', 'sponge', 'bag', 'book', 'etc', 'filmtv', 'selection', 'limited', 'choice', 'wasnt', 'working', 'food', 'poor', 'main', 'course', 'congealed', 'basic', 'dessert', 'pathetic', 'tea', 'coffee', 'chocolates', 'offered', 'us', 'breakfast', 'jam', 'croissant', 'nobody', 'came', 'round', 'flight', 'offering', 'extra', 'water', 'beverages', 'crew', 'didnt', 'put', 'one', 'pays', 'business', 'class', 'one', 'expects', 'didnt', 'get', 'would', 'never', 'choose', 'travel', 'ba']",<FreqDist with 75 samples and 86 outcomes>
1001,trip bucharest london flight british airways hours delayed european destination london applied compensation delay initially informed eu regulations would receive euros compensation informed days later error longer getting compensated british airways argued sickness crew member considered extraordinary circumstances comparable weather issues therefore compensate passengers flight however court precedence cases clearly show crew sickness considered extraordinary circumstance airlines responsibility contingency strategy cases compensate talked manager customer service told nothing policy believe legal basis british airways compensated customer service reasons hour delay within europe significant many times picked fly british airways based expectations good customer service case anything going wrong experience proved worth investing extra money flying british airways,"['trip', 'bucharest', 'london', 'flight', 'british', 'airways', 'hours', 'delayed', 'european', 'destination', 'london', 'applied', 'compensation', 'delay', 'initially', 'informed', 'eu', 'regulations', 'would', 'receive', 'euros', 'compensation', 'informed', 'days', 'later', 'error', 'longer', 'getting', 'compensated', 'british', 'airways', 'argued', 'sickness', 'crew', 'member', 'considered', 'extraordinary', 'circumstances', 'comparable', 'weather', 'issues', 'therefore', 'compensate', 'passengers', 'flight', 'however', 'court', 'precedence', 'cases', 'clearly', 'show', 'crew', 'sickness', 'considered', 'extraordinary', 'circumstance', 'airlines', 'responsibility', 'contingency', 'strategy', 'cases', 'compensate', 'talked', 'manager', 'customer', 'service', 'told', 'nothing', 'policy', 'believe', 'legal', 'basis', 'british', 'airways', 'compensated', 'customer', 'service', 'reasons', 'hour', 'delay', 'within', 'europe', 'significant', 'many', 'times', 'picked', 'fly', 'british', 'airways', 'based', 'expectations', 'good', 'customer', 'service', 'case', 'anything', 'going', 'wrong', 'experience', 'proved', 'worth', 'investing', 'extra', 'money', 'flying', 'british', 'airways']",<FreqDist with 83 samples and 107 outcomes>
1002,trip london heathrow bengaluru found crew friendly even humorous whenever airhostesses passed aisle seat next aisle would exchange friendly comments almost always lead muffled laughs one air hostess admitted enjoyed conversations made stress work lighter,"['trip', 'london', 'heathrow', 'bengaluru', 'found', 'crew', 'friendly', 'even', 'humorous', 'whenever', 'airhostesses', 'passed', 'aisle', 'seat', 'next', 'aisle', 'would', 'exchange', 'friendly', 'comments', 'almost', 'always', 'lead', 'muffled', 'laughs', 'one', 'air', 'hostess', 'admitted', 'enjoyed', 'conversations', 'made', 'stress', 'work', 'lighter']",<FreqDist with 33 samples and 35 outcomes>
